setup_type,trades,wins,losses,win_rate,total_pnl,avg_pnl,avg_r,notes
Setup A - Daily/4h Breakout,0,0,0,0,0,0,0,
Setup B - Support Retest/Reclaim,0,0,0,0,0,0,0,
Setup C - Breakdown/Failed Reclaim,0,0,0,0,0,0,0,
Setup D - Trend Continuation/Roll,0,0,0,0,0,0,0,
Setup E - Shares Accumulation,0,0,0,0,0,0,0,
