instrument_bucket,trades,wins,losses,win_rate,total_pnl,avg_pnl,avg_r,notes
Shares,0,0,0,0,0,0,0,
0-14 DTE Options,0,0,0,0,0,0,0,
14-30 DTE Options,0,0,0,0,0,0,0,
30-60 DTE Options,0,0,0,0,0,0,0,
60-90 DTE Options,0,0,0,0,0,0,0,
LEAPS,0,0,0,0,0,0,0,
Lotto,0,0,0,0,0,0,0,
